topic,rank,doc
18,2,🇷🇺🇪🇹 Russian Foreign Minister Sergey #Lavrov held talks with Deputy Prime Minister and Foreign Minister of #Ethiopia on the sidelines of the 77th Session of the UN General Assembly. #RussiaEthiopia #UNGA77
18,3,#Lavrov at the UN.
19,1,"The UN envoy for Yemen Agreed with Sanaa Government &amp; Ansarallah-""Houthi's"" to reopen all the Yemeni ports. Specially the capital Sanaa Airport. But the Saudi's coalitions are refusing to lift the blockade. #Yemen #USA #America #UnitedStates #help"
19,2,"Who launched the war on Yemen and who slaughtered this childs in Yemen? Who supported by arms? Who earns money? Yes, it is America! Saudi Arabia is the milking cow Saudi Arabia is the American womb #Yemen 🇾🇪 #YemenCantWait #SaudiArabia #UAE #USA #UN #Ukraine"
19,3,Russians also sold out Yemen at the UN. #ukraine #yemen #russia
20,1,". has verified 11 additional attacks on health care in #Ukraine. As of 28 April, 175 attacks on health care have been verified in Ukraine. These attacks caused 73 deaths &amp; 52 injuries. We are outraged that attacks on health care are continuing"
20,2,". has verified 27 additional attacks on health care in #Ukraine. As of 7 June, 290 attacks on health care have been verified in Ukraine. These attacks took place between 24 February and 30 May &amp; caused 76 deaths and 59 injuries. Health care should never be a target."
20,3,". has verified 5 additional reports of attacks on health care in #Ukraine. As of 11 April, 108 attacks on health care in Ukraine have been verified, causing 73 deaths and 51 injuries. We are outraged that attacks on health care are continuing."
21,1,World Health Organization says monkeypox is not a global health emergency right now #CNBC #News #BreakingNews
21,2,WHO considers declaring monkeypox a global health emergency - The Madras Tribune #MadrasTribune #News #BreakingNews
21,3,WHO says monkeypox is not yet a health emergency - The Madras Tribune #MadrasTribune #News #BreakingNews
22,1,UN Secretary General Antonio Guterres Will Meet Putin And Zelensky #Russia #Ukraine #War #UN
22,2,United Nations Secretary-General Antonio Guterres arrived in #Moscow on Tuesday for his meeting with #Russian President Vladimir #Putin. #UN #Russia
22,3,UN Secretary-General Antonio Guterres has arrived in #Ukraine
23,1,"UN investigators have concluded that #Russia has committed war crimes in #Ukraine, including: ⚠️ bombings of civilian areas, ⚠️ executions, ⚠️ torture, ⚠️ sexual violence."
23,2,BREAKING — #Russia committed 'war crimes' in Ukraine according to UN investigators #RUS_warcrimes Where is the news?
23,3,Russia's war crimes in Ukraine. #UN #Ukraine #Russia
24,1,UN rights chief to visit China's Xinjiang - #xinjiang #china #china #news
24,2,China’s Treatment of Uyghurs in Xinjiang May Amount to Crimes Against Humanity: UN. #Xinjiang #CCP #China
24,3,"#Uyghurs : China may have committed crimes against humanity in Xinjiang - UN The #UN has accused #China of ""serious human rights violations.”"
25,1,And remember. There are no sanctions. These are special financial operations. 👌 #PutinWarCrimes #facist #InternationalCriminalCourt #Россия Ukraine
25,2,And remember. There are no sanctions. These are special financial operations. 👌 #PutinWarCrimes #facist #InternationalCriminalCourt #Россия
25,3,UN also informed that US has put no sanctions on Russia for the same #RussiaUkraineWar
26,1,"#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert You are given the ""TRUMP CIRCUS"" today to sidetrack you, so go over there where you belong."
26,2,#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert Everything below is associated to this search...
